Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-05-06,87.25,87.669998,86.870003,87.389999,74.781883,4836000,1410
2019-05-07,87.279999,87.279999,85.209999,85.809998,73.429832,7037100,1411
2019-05-08,85.879997,86.580002,85.669998,85.720001,73.352821,5976800,1412
2019-05-09,85.57,86.110001,84.959999,85.940002,73.541069,4005000,1413
2019-05-10,85.879997,87.080002,85.709999,86.860001,74.328354,4269000,1414
2019-05-13,86.32,86.900002,86.080002,86.769997,74.251335,5794100,1415
2019-05-14,86.949997,87.370003,86.739998,87.089996,74.525154,4740500,1416
2019-05-15,87.010002,87.889999,86.720001,87.68,75.030045,3410600,1417
2019-05-16,87.650002,88.419998,87.449997,88.029999,75.329544,4008500,1418
2019-05-17,87.730003,88.07,87.410004,87.860001,75.184082,5346600,1419
2019-05-20,87.419998,87.690002,86.239998,86.589996,74.097305,4221100,1420
2019-05-21,86.870003,87.550003,86.75,87.330002,74.730545,2930100,1421
2019-05-22,87.419998,87.650002,87.160004,87.589996,74.953026,2825100,1422
2019-05-23,87.379997,87.870003,87.089996,87.790001,75.124176,3304500,1423
2019-05-24,88.019997,88.470001,87.989998,88.059998,75.355232,3121800,1424
2019-05-28,88.330002,88.589996,87.139999,87.190002,74.610733,4614500,1425
2019-05-29,87.059998,87.209999,85.709999,86.029999,73.618088,8170000,1426
2019-05-30,86.120003,86.779999,86.029999,86.389999,73.926163,3984100,1427
2019-05-31,86.160004,87.370003,85.889999,86.889999,74.354019,5369200,1428
2019-06-03,87.199997,87.389999,86.480003,87.099998,74.53373,6347800,1429
2019-06-04,87.25,87.25,85.949997,86.709999,74.199982,6993200,1430
2019-06-05,87.209999,88.620003,86.989998,88.519997,75.748856,6775400,1431
2019-06-06,88.800003,88.889999,88.050003,88.690002,75.894333,4077200,1432
2019-06-07,89.129997,89.57,88.919998,89.019997,76.176712,3525700,1433
2019-06-10,89.190002,89.290001,88.400002,88.730003,75.928558,2945500,1434
2019-06-11,88.989998,89.190002,88.309998,88.970001,76.133926,3834000,1435
2019-06-12,89.040001,89.57,88.900002,89.269997,76.39064,2768500,1436
2019-06-13,89.349998,89.650002,89.099998,89.650002,76.715836,2799400,1437
2019-06-14,89.599998,90.120003,89.550003,89.699997,76.758614,2981700,1438
2019-06-17,89.940002,90.779999,89.940002,90.660004,77.580109,3574900,1439
2019-06-18,91.330002,91.589996,90.160004,90.57,77.50309,4449200,1440
2019-06-19,90.419998,91.360001,90.010002,91.059998,77.922386,3694600,1441
2019-06-20,91.559998,91.849998,91.389999,91.519997,78.316048,4862000,1442
2019-06-21,91,91.269997,90.040001,90.230003,77.212158,7941700,1443
2019-06-24,90.629997,90.910004,89.650002,89.919998,76.946869,3773600,1444
2019-06-25,89.940002,90.169998,88.589996,88.589996,75.808746,5381300,1445
2019-06-26,88.629997,88.720001,86.610001,86.82,74.294106,12897000,1446
2019-06-27,86.529999,87.160004,86.370003,87.099998,75.250526,6924500,1447
2019-06-28,87.209999,87.959999,87.139999,87.400002,75.509705,9638200,1448
2019-07-01,87.980003,87.980003,86.330002,87.360001,75.475151,9746000,1449
2019-07-02,87.440002,88.879997,87.440002,88.879997,76.788353,7633700,1450
2019-07-03,89.019997,90.010002,88.949997,89.940002,77.704155,5418000,1451
2019-07-05,89.309998,89.910004,88.220001,89.620003,77.427704,5375100,1452
2019-07-08,89.529999,90.089996,89.389999,89.940002,77.704155,4509700,1453
2019-07-09,89.75,90.389999,89.510002,90.239998,77.963341,4906800,1454
2019-07-10,90.620003,91,90.150002,90.760002,78.412598,6833700,1455
2019-07-11,90.769997,90.769997,89.239998,89.580002,77.39312,4020600,1456
2019-07-12,89.650002,89.769997,89.07,89.459999,77.289452,2948600,1457
2019-07-15,89.580002,89.980003,89.300003,89.389999,77.228958,3185700,1458
2019-07-16,89.269997,89.57,88.809998,89.18,77.047554,3611600,1459
2019-07-17,89.410004,89.690002,88.360001,88.879997,76.788353,6422000,1460
2019-07-18,88.650002,89.120003,88.169998,88.879997,76.788353,7048200,1461
2019-07-19,88.970001,89.029999,87.309998,87.43,75.535629,5064600,1462
2019-07-22,87.529999,87.690002,87.019997,87.349998,75.466507,3265200,1463
2019-07-23,87.559998,88.339996,87.290001,88.339996,76.321831,4239800,1464
2019-07-24,88.449997,88.5,87.900002,88.410004,76.382294,2946100,1465
2019-07-25,88.379997,88.440002,87.580002,87.889999,75.933022,5629200,1466
2019-07-26,88.010002,88.440002,87.629997,88.290001,76.278633,3111900,1467
2019-07-29,88.440002,89.139999,88.379997,88.529999,76.485985,4898200,1468
2019-07-30,88.470001,89.559998,88.449997,89.239998,77.099396,3818100,1469
2019-07-31,89.339996,89.980003,88.379997,88.889999,76.796997,5979800,1470
2019-08-01,89.010002,89.720001,88.349998,88.889999,76.796997,8371300,1471
2019-08-02,88.82,89.790001,88.669998,89.32,77.168495,4794000,1472
2019-08-05,89.099998,89.150002,86.449997,87.559998,75.647934,6840000,1473
2019-08-06,87.760002,89.019997,87.540001,88.529999,76.485985,7789000,1474
2019-08-07,88.199997,89.989998,87.360001,89.389999,77.228958,8674600,1475
2019-08-08,89.589996,90.959999,88.980003,90.959999,78.585396,5766700,1476
2019-08-09,90.800003,91.150002,90,90.849998,78.490341,3304800,1477
2019-08-12,90.739998,90.980003,90.139999,90.610001,78.283012,2944000,1478
2019-08-13,90.559998,91.019997,90.010002,90.739998,78.395309,4540200,1479
2019-08-14,90.339996,90.480003,89.150002,89.360001,77.203041,4645100,1480
2019-08-15,89.489998,90.440002,89.389999,90.25,77.971977,4582900,1481
2019-08-16,90.459999,91.349998,90.25,91.18,78.775459,3951100,1482
2019-08-19,91.57,92.050003,91.169998,91.839996,79.345665,3255600,1483
2019-08-20,92.139999,92.209999,91.120003,91.190002,78.784096,2556300,1484
2019-08-21,91.440002,91.760002,91.080002,91.57,79.112381,2739400,1485
2019-08-22,91.559998,92.059998,91.050003,91.989998,79.475258,2587300,1486
2019-08-23,91.910004,92.550003,90.400002,90.699997,78.360756,5776500,1487
2019-08-26,91.199997,91.480003,90.769997,91.400002,78.965515,2736200,1488
2019-08-27,91.900002,92.129997,91.07,91.139999,78.740913,3252300,1489
2019-08-28,91.129997,91.580002,90.910004,91.440002,79.000076,3498600,1490
2019-08-29,91.849998,92.25,91.639999,92.150002,79.613487,2688000,1491
2019-08-30,92.410004,92.510002,91.809998,92.220001,79.673965,5678300,1492
2019-09-03,92.199997,93.239998,92,93.139999,80.468819,5927900,1493
2019-09-04,93.599998,94.07,93.440002,93.919998,81.1427,4757100,1494
2019-09-05,94.010002,94.010002,93.07,93.239998,80.555199,6036600,1495
2019-09-06,93.510002,93.790001,93.220001,93.449997,80.736633,2986400,1496
2019-09-09,93.449997,93.459999,92.75,93,80.347862,3772100,1497
2019-09-10,92.660004,92.68,91.239998,92.040001,79.518471,5379400,1498
2019-09-11,91.919998,92.290001,91.419998,92.139999,79.604858,3972200,1499
2019-09-12,92.849998,93.169998,92.089996,92.629997,80.028191,3486100,1500
2019-09-13,92.519997,92.989998,91.360001,91.639999,79.172859,6109300,1501
2019-09-16,91.800003,92.589996,91.489998,92.440002,79.864037,4688300,1502
2019-09-17,92.849998,93.480003,92.610001,93.440002,80.727989,3674800,1503
2019-09-18,93.970001,93.970001,92.339996,93.120003,80.451538,5655000,1504
2019-09-19,93.32,93.849998,93.220001,93.449997,80.736633,2892800,1505
2019-09-20,93.660004,93.940002,93.18,93.449997,80.736633,6900400,1506
2019-09-23,93.260002,94,93.230003,93.599998,80.866219,3515200,1507
2019-09-24,93.110001,93.330002,92.339996,92.650002,80.686829,3705600,1508
2019-09-25,92.650002,93.050003,92.410004,92.830002,80.84359,7088700,1509
2019-09-26,93.110001,93.830002,93,93.610001,81.522881,2984700,1510
2019-09-27,93.809998,93.910004,92.440002,93.089996,81.070007,4090300,1511
2019-09-30,93.190002,93.720001,93.110001,93.25,81.209366,3189800,1512
2019-10-01,93.199997,93.480003,92.220001,92.370003,80.442986,5226300,1513
2019-10-02,92.379997,92.449997,91.389999,91.980003,80.10334,3384300,1514
2019-10-03,91.93,93.120003,91.75,92.870003,80.878426,6634500,1515
2019-10-04,93.050003,93.470001,92.980003,93.43,81.366112,2189400,1516
2019-10-07,93,93.690002,92.849998,93.230003,81.19194,3667600,1517
2019-10-08,93.120003,93.5,92.290001,92.739998,80.765205,3108100,1518
2019-10-09,93.669998,93.669998,92.800003,92.919998,80.921959,4166000,1519
2019-10-10,92.879997,93.25,92.550003,93.07,81.052605,3719700,1520
2019-10-11,93.410004,93.779999,92.980003,93.029999,81.017746,3376300,1521
2019-10-14,93.139999,93.290001,92.720001,93.07,81.052605,1877600,1522
2019-10-15,93.150002,93.290001,92.559998,93.190002,81.157104,3218500,1523
2019-10-16,93.139999,93.220001,92.620003,93.199997,81.165802,3413900,1524
2019-10-17,93.389999,93.959999,93.25,93.809998,81.697037,3223100,1525
2019-10-18,93.730003,94.669998,93.690002,94.529999,82.324066,2492100,1526
2019-10-21,94.650002,95.290001,94.410004,95.25,82.951111,2591900,1527
2019-10-22,95.459999,95.489998,94.790001,94.970001,82.707275,2644200,1528
2019-10-23,95.110001,95.269997,94.43,95.18,82.890137,3020200,1529
2019-10-24,95.370003,95.370003,94.709999,94.940002,82.681129,3148800,1530
2019-10-25,94.879997,94.989998,93.949997,94.129997,81.975723,4184600,1531
2019-10-28,94.129997,94.129997,93.449997,93.559998,81.479317,4897400,1532
2019-10-29,93.720001,94.389999,93.599998,94.129997,81.975723,5512200,1533
2019-10-30,94.019997,94.529999,93.470001,94.470001,82.271812,3861400,1534
2019-10-31,94.669998,94.760002,93.949997,94.300003,82.123779,4723500,1535
2019-11-01,94.410004,94.790001,93.449997,94.279999,82.106377,6520400,1536
2019-11-04,94.25,94.279999,93.419998,93.620003,81.531578,3878100,1537
2019-11-05,93.349998,93.349998,91.669998,92.029999,80.146896,9141700,1538
2019-11-06,92.220001,92.669998,92.019997,92.230003,80.321053,4500400,1539
2019-11-07,91.980003,92.080002,90.980003,91.309998,79.519844,4945300,1540
2019-11-08,91.209999,91.699997,90.910004,91.089996,79.328255,7330200,1541
2019-11-11,91.099998,91.580002,91,91.290001,79.502434,3525200,1542
2019-11-12,91.32,91.879997,90.519997,90.599998,78.901527,5701600,1543
